note_id,raw_note,gratitude_type,time_of_event
1157,the gym,exercise,
1158,God,faith,
1159,football,sports,
1160,running,exercise,
1161,myself,myself,
1162,wfh,work from home,
1163,football,sports,
1164,sleep,sleeping,
1165,job,career,
1166,my family,family,
1167,God,faith,
1168,me,myself,
1169,her,love,
1170,God,faith,
1171,my mom,parent,
1172,comfy bed,home,
1173,my family,family,
1174,friday,weekend,
1175,sleep,sleeping,
1176,rave day,fun,
1177,brother,sibling,
1178,mom,parent,
1179,katie,specific family,
1180,fern,specific friend,
1181,my mom,parent,
1182,my family,family,
1183,a new week,new day,
1184,football,sports,
1185,canes,food,
1186,my family,family,
1187,another day,new day,
1188,thursday,new day,
1189,my bed,sleeping,
1190,weekend,weekend,
1191,day off,weekend,
1192,new oppurtunities,career,
1193,new job offer,career,
1194,birthday eve,fun,
1195,my support system,family,
1196,my birthday,myself,
1197,another year of life,new day,10/16/2022
1198,my entire group of friends and family,family,
1199,myself,myself,
1200,my family,family,
1201,new day,new day,
1202,myself,myself,
1203,my family,family,
1204,my goals,achievement,
1205,weekend,weekend,
1206,my work,career,
1207,my friends,friends,
1208,my family,family,
1209,midland,fun,
1210,great weather,weather,
1211,no hangover,health,
1212,my family,family,
1213,school,education,
1214,sports,sports,
1215,my family,family,
1216,hard work,achievement,
1217,warm bed,material,
1218,wfh,work from home,
1219,God,faith,
1220,my dad,parent,
1221,Friday,weekend,
1222,MW2,fun,
1223,weekend,weekend,
1224,nuggets game,sports,
1225,courtside,sports,
1226,mariscos,food,
1227,sherm,specific family,
1228,my mom,parent,
1229,sherm,specific family,
1230,wfh,work from home,
1231,wfh,work from home,
1232,my goals,achievement,
1233,God,faith,
1234,have a job,career,
1235,my family,family,
1236,my friends,friends,
1237,my family,family,
1238,my bed,sleeping,
1239,wfh,work from home,
1240,my family,family,
1241,football,sports,
1242,friends from oos,specific friend,
1243,myself,myself,
1244,my family,family,
1245,football,sports,
1246,wfh,work from home,
1247,sleep,sleeping,
1248,forex,material,
1249,wakanda forever,entertainment,
1250,marvel,entertainment,
1251,black panther,entertainment,
1252,brother,sibling,
1253,sherm,specific family,
1254,xbox,fun,
1255,my friends,friends,
1256,wfh,work from home,
1257,football,sports,
1258,family,family,
1259,my health,health,
1260,goals,achievement,
1261,family,family,
1262,wfh,work from home,
1263,my family,family,
1264,snow,weather,
1265,cabin trip,fun,
1266,family,family,
1267,friends,friends,
1268,cabin trip,fun,
1269,football,sports,
1270,world cup,sports,
1271,world cup,sports,
1272,family,family,
1273,friends,friends,
1274,world cup,sports,
1275,wfh,work from home,
1276,family,family,
1277,world cup,sports,
1278,family,family,
1279,mariscos,food,
1280,friday,weekend,
1281,call of duty,fun,
1282,my family,family,
1283,last month of the year,new day,
1284,wfh,work from home,
1285,family,family,
1286,parents,parent,
1287,basketball,sports,
1288,cousins,specific family,
1289,family ,family,
1290,new start,new day,
1291,game day,sports,
1292,world cup,sports,
1293,life,myself,
1294,thanksgiving gobble,food,
1295,wfh,work from home,
1296,my moms food,parent,
1297,my dad,parent,
1298,change,myself,
1299,my family,family,
1300,God,faith,
1301,blessings,faith,
1302,good sleep,sleeping,
1303,God did,faith,
1304,My parents,parent,
1305,WFH,work from home,
1306,Another day of life,new day,
1307,buffalo,fun,
1308,world cup,sports,
1309,basement,home,
1310,football,sports,
1311,my mom,parent,
1312,my dad,parent,
1313,football,sports,
1314,clean bed,home,
1315,holidays,fun,
1316,day off,weekend,
1317,my family,family,
1318,call of duty,fun,
1319,friday,weekend,
1320,call of duty,fun,
1321,nba betting model,achievement,
1322,saturday,weekend,
1323,my friends,friends,
1324,my brother,sibling,
1325,my mom,parent,
1326,world cup final,sports,
1327,messi,sports,
1328,sports,sports,
1329,new day,new day,
1330,my life,myself,
1331,mom ,parent,
1332,family,family,
1333,work,career,
1334,my mom,parent,
1335,wfh,work from home,
1336,shelter,home,
1337,great fantasy football year,sports,
1338,my mom being ok,parent,
1339,another christmas,new day,
1340,merry christmas,fun,
1341,family,family,
1342,my mom being with my grandma,parent,
1343,great life,myself,
1344,fantasy football season,sports,
1345,my family,family,
1346,my mom,parent,
1347,my brother,sibling,
1348,my dad,parent,
1349,1st of the year,new day,01/01/2023
1350,new start,new day,
1351,great lfie,myself,
1352,my mom being back,parent,
1353,great support,family,
1354,good life,mental health,
1355,dreaming ,mental health,
1356,clean closet,home,
1357,my life,myself,
1358,gym,exercise,
1359,my health,health,
1360,great family,family,
1361,my friends,friends,
1362,my family,family,
1363,work oppo.,career,
1364,to be alive,myself,
1365,have a home,material,
1366,my own room,home,
1367,eating out alone,mental health,
1368,the gym,exercise,
1369,the patriots,sports,
1370,no more braces,achievement,01/10/2023
1371,my bed,sleeping,
1372,my family,family,
1373,no more braces,achievement,
1374,having money,material,
1375,my brother,sibling,
1376,my life,myself,
1377,my home,home,
1378,my bed,sleeping,
1379,work progress,career,
1380,my job,career,
1381,the gym,exercise,
1382,nuggets game,sports,
1383,my home,home,
1384,my family,family,
1385,great weekend,weekend,
1386,eating with fam,fun,
1387,minecraft,fun,
1388,my brother,sibling,
1389,my friends,friends,
1390,my family,family,
1391,the gym,exercise,
1392,wfh,work from home,
1393,snow days,weather,
1394,good sleep,sleeping,
1395,my family,family,
1396,warm shelter,home,
1397,wfh,work from home,
1398,friday,weekend,
1399,gym early dial,exercise,
1400,sushi,food,
1401,my bed,sleeping,
1402,my brother,sibling,
